Firma;Kurzform;Adresse;PLZ;Stadt;Land;Anrede;Name;Titel ;Telefon;Fax;E-Mail;www;Spezielle Interessen;Gewählte Optionen(angebotene Studiengänge);Gebäude;Raum
IBM Deutschland MBS GmbH;IBM;Am Fichtenberg 1;71083;Herrenberg;Deutschland;Herr;Müller;Prof;012345/34242342;012234/432423;E-Mail@ibm.de.com;http://ibm.com;;Angewandte Informatik, Wirtschaftsinformatik, Dienstleistungsmanagement;RB41;4.11
Siemens AG;Siemens;Weisacherstrasse 1;70499;Stuttgart;Deutschland;Frau;Schmidt;;987452/33421;9342135/4324;schmidt@siemens.de;http://siemens.de/ausbildung;;Angewandte Informatik, BWL;J56;112/113
Infineon Technologies AG;Infineon;Siemensstrasse 31;71254;Ditzingen;Deutschland;Herr;Maler;Dr;34245/3242342;44352352352;maler@infineon.com;http://infineon.com;;Angewandte Informatik, International Business;P50;204
Hirschmann Automation and Controll GMBH und Belden;Hirschmann;Stuttgarter Strasse 45;72654;Neckartenzlingen;Deutschland;Frau;Müller;;073234/34239;07342/34234;mueller@beldensolutions.com;http://www.beldensolutions.com;;Angewandte Informatik, Maschinenbau;J58;106
Trumpf GmbH & Co.KG ;Trumpf;Johann-Maus-Strasse 2;71254;Ditzingen;Deutschland;Herr;Gruber;;07342/34525324;324234/34223;gruber@trumpf.de;http://www.trumpf.com;;Maschinenbau, Angewandte Informatik;RB41;1.14
Kreissparkassse Esslingen-Nürtingen;Kreissparkasse Esslingen-Nürtingen;Bahnhofstr 8;73728;Esslingen;Deutschland;;;;;073742/34224;;http://www.Ksk-es.de;;Finanzdienstleistungen, Versicherung;RB41;0.13
Daimler AG;Daimler;Mercedesstrasse;70546;Stuttgart;Deutschland;;;;;;;http://career.daimler.de;;Maschinenbau, Dienstleistungsmanagement;RB41;1.16
Robert Bosch GmbH;Bosch;Robert-Bosch-Str. 40;96050;Bamberg;Deutschland;Herr;Hubert;;0951181-2402;;franz.hubert@de.bosch.com;http://www.bosch-career.de;;Maschinenbau, BWL-Industrie, Elektrotechnik;P50;110
Advantest Europe GmbH;Advantest;;;;;;;;;;;;;Elektrotechnik, Angewandte Informatik;J58;203
Agilent Technologies Deutschland GmbH;;;;;;;;;;;;;;Elektrotechnik, Angewandte Informatik;J58;302
Alcatel-Lucent Deutschland GmbH;;;;;;;;;;;;;;Elektrotechnik;RB41;1.12
Alfred Kärcher GmbH & Co. KG;;;;;;;;;;;;;;Elektrotechnik, Angewandte Informatik, Maschinenbau;J56;212
